keys,en,pt_BR
error_password_empty_message,"Please enter a password.","Por favor, insira uma senha."
error_password_empty_suggestion,Create a secure password to protect your account.,Crie uma senha segura para proteger sua conta.

error_password_too_short_title,Password Too Short,Senha Muito Curta
error_password_too_short_message,Password must be at least 6 characters long.,A senha deve ter pelo menos 6 caracteres.
error_password_too_short_suggestion,Add more characters to strengthen your password.,Adicione mais caracteres para fortalecer sua senha.

error_password_too_long_title,Password Too Long,Senha Muito Longa
error_password_too_long_message,Password must be no more than 32 characters long.,A senha deve ter no máximo 32 caracteres.
error_password_too_long_suggestion,Shorten your password while keeping it secure.,Encurte sua senha mantendo-a segura.

error_password_invalid_chars_title,Invalid Characters,Caracteres Inválidos
error_password_invalid_chars_message,"Password can only contain letters, numbers, and underscores.","A senha pode conter apenas letras, números e underscores."
error_password_invalid_chars_suggestion,Remove special characters and spaces from your password.,Remova caracteres especiais e espaços da sua senha.

error_password_weak_title,Password Too Weak,Senha Muito Fraca
error_password_weak_message,Password is too weak and cannot be used.,A senha é muito fraca e não pode ser usada.
error_password_weak_suggestion,"Use a mix of uppercase, lowercase, numbers, and special characters.","Use uma combinação de maiúsculas, minúsculas, números e caracteres especiais."

error_password_match_failed_title,Passwords Don't Match,As Senhas Não Coincidem
error_password_match_failed_message,The passwords you entered do not match.,As senhas que você digitou não coincidem.
error_password_match_failed_suggestion,Make sure both password fields contain the same password.,Certifique-se de que ambos os campos de senha contenham a mesma senha.
error_login_invalid_credentials_title,Login Failed,Falha no Login
error_login_invalid_credentials_message,"Invalid handle or password. Please check your credentials.","Identificador ou senha inválidos. Por favor, verifique suas credenciais."
error_login_invalid_credentials_suggestion,"Make sure your handle and password are correct, or try creating a new account.","Certifique-se de que seu identificador e senha estejam corretos, ou tente criar uma nova conta."

error_login_already_connected_title,Already Logged In,Já Conectado
error_login_already_connected_message,This account is already logged in elsewhere.,Esta conta já está conectada em outro dispositivo.
error_login_already_connected_suggestion,"Log out from other devices or wait a few minutes and try again.","Desconecte-se de outros dispositivos ou aguarde alguns minutos e tente novamente."

error_login_network_error_title,Connection Failed,Falha na Conexão
error_login_network_error_message,Unable to connect to the server.,Não foi possível conectar ao servidor.
error_login_network_error_suggestion,"Check your internet connection and try again.","Verifique sua conexão com a internet e tente novamente."

error_login_timeout_title,Login Timeout,Tempo Esgotado
error_login_timeout_message,Login request timed out.,A solicitação de login expirou.
error_login_timeout_suggestion,"The server may be busy. Please try again in a moment.","O servidor pode estar ocupado. Tente novamente em instantes."
error_network_connection_failed_title,Connection Failed,Falha na Conexão
error_network_connection_failed_message,Unable to connect to the game server.,Não foi possível conectar ao servidor do jogo.
error_network_connection_failed_suggestion,"Check your internet connection and ensure the game servers are online.","Verifique sua conexão com a internet e certifique-se de que os servidores do jogo estejam online."

error_network_timeout_title,Request Timeout,Tempo Esgotado
error_network_timeout_message,The request took too long to complete.,A solicitação demorou muito para ser concluída.
error_network_timeout_suggestion,"Try again in a moment. The server may be experiencing high traffic.","Tente novamente em instantes. O servidor pode estar com tráfego intenso."

error_network_server_unavailable_title,Server Unavailable,Servidor Indisponível
error_network_server_unavailable_message,The game server is currently unavailable.,O servidor do jogo está indisponível no momento.
error_network_server_unavailable_suggestion,Please try again later or check the game status.,Tente novamente mais tarde ou verifique o status do jogo.
error_character_name_empty_title,Character Name Required,Nome do Personagem Obrigatório
error_character_name_empty_message,"Please enter a character name.","Por favor, insira um nome de personagem."
error_character_name_empty_suggestion,Choose a unique name for your character.,Escolha um nome único para seu personagem.

error_character_name_too_short_title,Character Name Too Short,Nome Muito Curto
error_character_name_too_short_message,Character name must be at least 4 characters long.,O nome do personagem deve ter pelo menos 4 caracteres.
error_character_name_too_short_suggestion,Try adding more characters to make it unique.,Tente adicionar mais caracteres para torná-lo único.

error_character_name_too_long_title,Character Name Too Long,Nome Muito Longo
error_character_name_too_long_message,Character name must be no more than 16 characters long.,O nome do personagem deve ter no máximo 16 caracteres.
error_character_name_too_long_suggestion,Try shortening your character name.,Tente encurtar o nome do seu personagem.

error_character_invalid_class_title,Invalid Character Class,Classe de Personagem Inválida
error_character_invalid_class_message,"Please select a valid character class.","Por favor, selecione uma classe de personagem válida."
error_character_invalid_class_suggestion,"Choose from Miner, Forager, or Trapper.","Escolha entre Minerador, Coletor ou Caçador."

error_character_missing_data_title,Incomplete Character Data,Dados do Personagem Incompletos
error_character_missing_data_message,Character creation data is incomplete.,Os dados de criação do personagem estão incompletos.
error_character_missing_data_suggestion,Make sure to provide both name and class for your character.,Certifique-se de fornecer nome e classe para seu personagem.

error_character_not_authenticated_title,Not Authenticated,Não Autenticado
error_character_not_authenticated_message,You must be logged in to create a character.,Você deve estar conectado para criar um personagem.
error_character_not_authenticated_suggestion,"Please log in first, then try creating your character.","Por favor, conecte-se primeiro e depois tente criar seu personagem."

error_character_name_banned_title,Inappropriate Name,Nome Inapropriado
error_character_name_banned_message,This character name contains prohibited words or phrases.,Este nome de personagem contém palavras ou frases proibidas.
error_character_name_banned_suggestion,"Please choose a different name that follows our community guidelines.","Por favor, escolha um nome diferente que siga nossas diretrizes da comunidade."
error_server_error_generic_title,Server Error,Erro do Servidor
error_server_error_generic_message,An unexpected error occurred on the server.,Ocorreu um erro inesperado no servidor.
error_server_error_generic_suggestion,Please try again. If the problem persists, contact support.,Tente novamente. Se o problema persistir, contate o suporte.

error_server_error_code_title,Server Error,Erro do Servidor
error_server_error_code_message,Server returned error code: {code},O servidor retornou o código de erro: {code}
error_server_error_code_suggestion,"Please try again or contact support if the problem continues.","Tente novamente ou contate o suporte se o problema continuar."

error_unknown_error_title,Unknown Error,Erro Desconhecido
error_unknown_error_message,An unexpected error occurred.,Ocorreu um erro inesperado.
error_unknown_error_suggestion,"Please try again or contact support.","Tente novamente ou contate o suporte."
ui_language_selector_label,Language,Idioma
ui_language_english,English,English
ui_language_portuguese_br,Português (BR),Português (BR)

# Inventory System
inventory_tab_equipment,Equipment,Inventário
inventory_tab_materials,Materials,Materiais
inventory_tab_consumables,Consumables,Consumíveis
inventory_tab_key_items,Key Items,Itens Chave
inventory_tab_crafting,Crafting,Criação
inventory_label_gold,Gold:,Ouro:
inventory_label_gold_display,"Gold: {amount}","Ouro: {amount}"
inventory_button_equip_unequip,Equip/Unequip,Equipar/Desequipar
inventory_button_expand,Expand,Expandir
inventory_button_sell,Sell Item,Vender Item
inventory_button_sell_all,Sell All,Vender Todos
inventory_sell_all_price,"Total: {total_price} gold ({quantity} items)","Total: {total_price} ouro ({quantity} itens)"
inventory_label_sell_price,"Sell Price: {price} gold","Preço de venda: {price} ouro"
inventory_label_sell_price_zero,Sell Price: 0 gold,Preço de venda: 0 ouro
inventory_select_item,Select an item to see details,Selecione um item para ver detalhes

# Trade System
trade_title_your_offer,Your Offer,Sua Oferta
trade_title_their_offer,Their Offer,Oferta Deles
trade_label_gold,Gold,Ouro
trade_button_ready,Ready,Pronto
trade_button_lock,Lock,Travar
trade_button_close,Close,Fechar
trade_dialog_title,Trade Quantity,Quantidade para Trocar
trade_dialog_question,How many to trade?,Quantos para trocar?
trade_dialog_label_quantity,Quantity:,Quantidade:
trade_button_max,Max,Máximo
trade_request_title,Trade Request,Pedido de Troca
trade_request_sent,"Trade Request Sent","Pedido de Troca Enviado"
trade_waiting_response,Waiting for response...,Aguardando resposta...
trade_request_to,"Sent trade request to {player}","Pedido de troca enviado para {player}"
trade_description_player,"[{player}]","[{player}]"
trade_description_wants,"would like to trade.","gostaria de trocar."
trade_button_open,Open Trade,Abrir Troca

# Market/Shop Dialog
shop_add_item_title,Item:,Item:
shop_label_quantity,Quantity:,Quantidade:
shop_label_price_each,Price (each):,Preço (cada):

# Crafting System
crafting_label_level,"Level: {level}","Nível: {level}"
crafting_label_exp,"EXP: {current} / {required}","EXP: {current} / {required}"
crafting_label_energy,"Energy: {current} / {max}","Energia: {current} / {max}"
crafting_select_recipe,Select a recipe,Selecione uma receita
crafting_choose_recipe_desc,"Choose a recipe from the list to see details.","Escolha uma receita da lista para ver detalhes."
crafting_button_craft,Craft,Criar
crafting_label_requirements,Requirements:,Requisitos:
crafting_label_outputs,Outputs:,Resultados:
crafting_label_costs,Costs:,Custos:
crafting_filter_all_classes,All Classes,Todas as Classes
crafting_filter_miner,Miner,Minerador
crafting_filter_forager,Forager,Coletor
crafting_filter_trapper,Trapper,Caçador
crafting_placeholder_search,Search recipes...,Buscar receitas...
crafting_cost_gold,"Gold: {required} (Have: {have})","Ouro: {required} (Possui: {have})"
crafting_cost_energy,"Energy: {required} (Have: {have})","Energia: {required} (Possui: {have})"
crafting_status_ready,Ready to craft!,Pronto para criar!
crafting_status_level_required,"Requires {class} level {level}","Requer {class} nível {level}"
crafting_status_missing_materials,Missing required materials,Faltam materiais necessários
crafting_status_not_enough_gold,Not enough gold,Ouro insuficiente
crafting_status_not_enough_energy,Not enough energy,Energia insuficiente
crafting_item_have,"Have: {amount}","Possui: {amount}"
crafting_item_need_more,"Need {amount} more","Precisa de {amount} mais"

# Level and XP
level_display,"Level {level}","Nível {level}"
exp_display,"{current} / {required} EXP","{current} / {required} EXP"

# Item Tooltips
tooltip_level_requirement,"Requires Level {level}","Requer Nível {level}"
tooltip_class_requirement,"Requires {class}","Requer {class}"
tooltip_stack_size,"Stack: {current}/{max}","Pilha: {current}/{max}"
tooltip_value,"Value: {value} gold","Valor: {value} ouro"
tooltip_durability,"Durability: {current}/{max}","Durabilidade: {current}/{max}"

# Chat System
chat_tab_public,Public,Público
chat_tab_system,System,Sistema
chat_tab_world,World,Mundo
chat_tab_team,Team,Equipe
chat_tab_guild,Guild,Guilda
chat_tab_private,Private,Privado
chat_placeholder_message,Enter a message,Digite uma mensagem
chat_placeholder_message_peek,Enter your message here,Digite sua mensagem aqui
chat_button_send,Send,Enviar
chat_button_close,Close,Fechar
chat_button_add,Add,Adicionar
chat_button_settings,Settings,Configurações
chat_new_message,New message,Nova mensagem
chat_label_sender,SenderName,NomeRemetente

# Chat Commands
chat_cmd_help,Help,Ajuda
chat_cmd_whisper,Whisper,Sussurrar
chat_cmd_party,Party,Grupo
chat_cmd_guild_abbr,Guild,Guilda
chat_cmd_emote,Emote,Emote
chat_cmd_clear,Clear,Limpar

# Chat System Messages
chat_system_connected,Connected to server,Conectado ao servidor
chat_system_disconnected,Disconnected from server,Desconectado do servidor
chat_system_player_joined,"{player} joined the game","{player} entrou no jogo"
chat_system_player_left,"{player} left the game","{player} saiu do jogo"
chat_system_command_unknown,Unknown command: {cmd},Comando desconhecido: {cmd}
chat_system_command_error,Error executing command,Erro ao executar comando
chat_system_whisper_sent,"Whisper sent to {player}","Sussurro enviado para {player}"
chat_system_whisper_received,"Whisper from {player}","Sussurro de {player}"
chat_system_party_invite,"{player} invited you to a party","{player} convidou você para um grupo"
chat_system_guild_invite,"{player} invited you to join {guild}","{player} convidou você para entrar em {guild}"
chat_system_trade_request,"{player} wants to trade with you","{player} quer trocar com você"
chat_system_muted,"You have been muted","Você foi silenciado"
chat_system_unmuted,"You have been unmuted","Você não está mais silenciado"

# Shop System - Browse
shop_title,Shop,Loja
shop_seller,"Seller: {name}","Vendedor: {name}"
shop_seller_label,Seller:,Vendedor:
shop_available_items,Available Items,Itens Disponíveis
shop_no_items,No items available,Nenhum item disponível
shop_item_label,Item:,Item:
shop_price_label,Price:,Preço:
shop_quantity_label,Quantity:,Quantidade:
shop_total_label,Total:,Total:
shop_button_buy,Buy,Comprar
shop_button_purchase,Purchase,Comprar
shop_gold_short,"{amount}g","{amount}o"

# Shop System - Setup
shop_setup_title,Setup Your Shop,Configure Sua Loja
shop_setup_name_label,Shop Name:,Nome da Loja:
shop_setup_name_placeholder,Enter shop name...,Digite o nome da loja...
shop_setup_inventory_title,Your Inventory (Click to add to shop),Seu Inventário (Clique para adicionar à loja)
shop_setup_items_title,"Items in Shop ({current}/{max})","Itens na Loja ({current}/{max})"
shop_setup_items_title_default,Items in Shop (0/20),Itens na Loja (0/20)
shop_button_open,Open Shop,Abrir Loja
shop_button_close_shop,Close Shop,Fechar Loja
shop_button_remove,Remove from Shop,Remover da Loja
shop_dialog_quantity,Quantity:,Quantidade:
shop_dialog_price,Price (gold):,Preço (ouro):

# Shop System - Messages
shop_msg_opened,Shop opened successfully,Loja aberta com sucesso
shop_msg_closed,Shop closed,Loja fechada
shop_msg_purchase_success,Purchase successful!,Compra realizada!
shop_msg_purchase_failed,Purchase failed,Compra falhou
shop_msg_sold,"{item} sold for {price} gold","{item} vendido por {price} ouro"
shop_msg_insufficient_gold,Not enough gold,Ouro insuficiente
shop_msg_item_unavailable,Item no longer available,Item não está mais disponível
shop_msg_shop_full,Shop is full (20 items max),Loja está cheia (máximo 20 itens)
shop_msg_invalid_price,Invalid price,Preço inválido
shop_msg_invalid_quantity,Invalid quantity,Quantidade inválida

# Shop Indicator
shop_indicator_name,Shop Name,Nome da Loja
shop_indicator_open,OPEN,ABERTO

# Quest System
quest_board_title,Quest Board,Quadro de Missões
quest_required_items,Required Items:,Itens Necessários:
quest_rewards,Rewards: {gold} Gold{xp} XP,"Recompensas: {gold} Ouro, {xp} XP"
quest_button_pin,Pin,Fixar
quest_button_unpin,Unpin,Desafixar
quest_button_complete,Complete,Completar
quest_pinned_indicator,⭐ PINNED,⭐ FIXADA
quest_adventurer_type,[{type}],[{type}]
quest_availability,{available}/{required},{available}/{required}

# Quest Notifications
quest_msg_complete,"Quest Complete! +{gold} Gold, +{xp} XP","Missão Completa! +{gold} Ouro, +{xp} XP"
quest_msg_error,Error: {error},Erro: {error}
quest_msg_pinned,Quest pinned,Missão fixada
quest_msg_unpinned,Quest unpinned,Missão desafixada
quest_msg_pin_error,Error pinning quest,Erro ao fixar missão
quest_msg_complete_error,Error completing quest,Erro ao completar missão

# HUD Display
hud_gold,Gold: {amount},Ouro: {amount}
hud_level,Level {level},Nível {level}
hud_menu,Menu,Menu
hud_settings,SETTINGS,CONFIGURAÇÕES
hud_close,CLOSE,FECHAR
hud_stat_vit,+VIT,+VIT
hud_stat_str,+STR,+FOR
hud_stat_agi,+AGI,+AGI
hud_available_points,Available points: {points},Pontos disponíveis: {points}
hud_tooltip_guide,Game Guide,Guia do Jogo

# Popups
popup_level_up,LEVEL UP!\nLevel {level},SUBIU DE NÍVEL!\nNível {level}
popup_energy_gained,+{amount} Energy,+{amount} Energia
popup_unlocked_recipes,Unlocked Recipes:,Receitas Desbloqueadas:
popup_harvest,+{amount} {item},+{amount} {item}
popup_harvest_exp,+{exp} XP,+{exp} XP

# Hot Potato Minigame
hotpotato_title,🥔 Hot Potato,🥔 Batata Quente
hotpotato_waiting,Waiting for game to start...,Aguardando início do jogo...
hotpotato_starts_in,Game starts in: {time},Jogo começa em: {time}
hotpotato_players_label,Players:,Jogadores:
hotpotato_leave,Leave Game,Sair do Jogo
hotpotato_holder_label,🥔 {player} has the potato,🥔 {player} está com a batata
hotpotato_holder_you,🥔 YOU have the hot potato! 🥔,🥔 VOCÊ está com a batata quente! 🥔
hotpotato_explodes_in,Potato explodes in: {time}s,Batata explode em: {time}s
hotpotato_active_players,Active Players:,Jogadores Ativos:
hotpotato_eliminated,Eliminated:,Eliminados:
hotpotato_winner_you,🎉 YOU WON! 🎉,🎉 VOCÊ GANHOU! 🎉
hotpotato_game_over,Game Over,Fim de Jogo
hotpotato_reward,Reward: {item},Recompensa: {item}
hotpotato_player_you," (You)"," (Você)"
hotpotato_msg_eliminated,💀 You were eliminated from Hot Potato! Watch the remaining players battle it out!,💀 Você foi eliminado da Batata Quente! Assista os jogadores restantes!
hotpotato_seconds_until,seconds until explosion!,segundos até explodir!

# Horse Racing Minigame
horseracing_title,🐎 Horse Racing,🐎 Corrida de Cavalos
horseracing_time_left,Time Left: {time},Tempo Restante: {time}
horseracing_select_horse,Select Your Horse:,Selecione Seu Cavalo:
horseracing_players_label,Players:,Jogadores:
horseracing_bet_amount,Bet Amount:,Valor da Aposta:
horseracing_bet_placeholder,Enter gold amount,Digite a quantidade de ouro
horseracing_button_ready,Ready,Pronto
horseracing_button_ready_check,Ready ✓,Pronto ✓
horseracing_button_leave,Leave,Sair
horseracing_waiting,Waiting for game to start...,Aguardando início do jogo...
horseracing_race_time,Time: {time}s,Tempo: {time}s
horseracing_race_on,🏁 THE RACE IS ON!,🏁 A CORRIDA COMEÇOU!
horseracing_winner,🏆 Winner: {winner} | 🥈 Second: {second},🏆 Vencedor: {winner} | 🥈 Segundo: {second}
horseracing_won_first,🎉 You won {amount} gold! (1st place),🎉 Você ganhou {amount} ouro! (1º lugar)
horseracing_won_second,🎉 You won {amount} gold! (2nd place),🎉 Você ganhou {amount} ouro! (2º lugar)
horseracing_lost,😔 You lost. Better luck next time!,😔 Você perdeu. Mais sorte da próxima!
horseracing_total_pot,Total pot: {amount} gold,Prêmio total: {amount} ouro
horseracing_prize_pool,💰 Prize Pool: {total} gold | 🥇 1st: {first} | 🥈 2nd: {second},💰 Prêmio: {total} ouro | 🥇 1º: {first} | 🥈 2º: {second}
horseracing_players_bets,👥 Players & Their Bets:,👥 Jogadores & Suas Apostas:
horseracing_horse_selected,✓ {horse} - {amount} gold bet (SELECTED),✓ {horse} - {amount} ouro apostado (SELECIONADO)
horseracing_horse_selected_simple,✓ {horse} (SELECTED),✓ {horse} (SELECIONADO)
horseracing_horse_option,🐎 {horse} - {amount} gold bet,🐎 {horse} - {amount} ouro apostado
horseracing_horse_nobets,🐎 {horse} - 0 gold bet,🐎 {horse} - 0 ouro apostado
horseracing_horse_list,  🐎 {horse}: {players},  🐎 {horse}: {players}

# Craft XP Popup
popup_craft_xp,+{exp} XP,+{exp} XP

# Trade Request Modal
trade_request_sent_title,[b]Trade Request Sent[/b],[b]Pedido de Troca Enviado[/b]
trade_request_sent_waiting,Waiting for response...,Aguardando resposta...
trade_request_sent_desc,Sent trade request to {player},Pedido de troca enviado para {player}
trade_request_received_title,[b]Trade Request[/b],[b]Pedido de Troca[/b]
trade_request_received_desc,would like to trade with you.,quer negociar com você.
trade_request_accepted_title,[b]Trade Accepted![/b],[b]Troca Aceita![/b]
trade_request_accepted_desc,is ready to trade,está pronto para negociar
trade_request_processing_title,[b]Processing...[/b],[b]Processando...[/b]
trade_request_processing_msg,Please wait,Por favor aguarde
trade_request_processing_desc,Setting up trade...,Preparando troca...
trade_button_open,Open Trade,Abrir Troca

# Inventory & Equipment
inventory_equipment_empty,Empty,Vazio
inventory_equipment_locked,Lock,Travado
inventory_sell_price,Sell Price: {price} gold,Preço de Venda: {price} ouro
inventory_trade_item,Trade {item},Trocar {item}
inventory_trade_your_offer,Your Offer,Sua Oferta
inventory_trade_gold,Gold: {amount},Ouro: {amount}
inventory_trade_locked,Locked,Travado
inventory_trade_ready,Ready,Pronto
inventory_trade_ready_check,Ready ✓,Pronto ✓

# Crafting
crafting_required_level,Level {level},Nível {level}
crafting_select_recipe,Select a recipe,Selecione uma receita
crafting_select_recipe_desc,Choose a recipe from the list to see details.,Escolha uma receita da lista para ver detalhes.
crafting_recipe_not_found,Recipe not found!,Receita não encontrada!
crafting_success,Crafted successfully!,Fabricado com sucesso!
crafting_error,Error: {error},Erro: {error}

# Shop (Additional)
shop_no_items,No items available,Nenhum item disponível
shop_add_item,Add to Shop: {item},Adicionar à Loja: {item}
shop_edit_item,Edit Shop Item: {item},Editar Item da Loja: {item}

# Guide Modal
guide_page_indicator,Page {current} of {total},Página {current} de {total}

# Harvesting
harvest_tier,Tier {tier} {node},Nível {tier} {node}

# Player Profile
profile_add_friend,Add friend,Adicionar amigo
profile_remove_friend,Remove Friend,Remover Amigo





# ===================================================================
# PHASE 4: ITEM DATABASE TRANSLATIONS (559 strings)
# Generated from .tres resource files in source/common/gameplay/items/
# Translation keys format: item_{slug}_name and item_{slug}_desc
# ===================================================================
item_wooden_bow.item_name,Bow,Arco
item_arrows_name,Arrows,Flechas
item_arrows_desc,Bundle of arrows. Consumable ammunition.,Feixe de flechas. Munição consumível.
item_bandages_name,Bandages,Bandagens
item_bandages_desc,Simple bandages.,Bandagens simples.
item_greater_health_potion_name,Greater Health Potion,Poção Maior de Vida
item_greater_health_potion_desc,Master healing potion.,Poção de cura suprema.
item_health_potion_name,Health Potion,Poção de Vida
item_health_potion_desc,Potent healing potion.,Poção de cura potente.
item_iron_boots_name,Iron Boots,Botas de Ferro
item_iron_boots_desc,Iron-reinforced boots.,Botas reforçadas com ferro.
item_iron_helmet_name,Iron Helmet,Capacete de Ferro
item_iron_helmet_desc,Iron helmet with leather padding.,Capacete de ferro com forro de couro.
item_iron_sword_name,Iron Sword,Iron Sword
item_iron_sword_desc,Sturdy iron sword.,Sturdy iron sword.
item_leather_chest_name,Leather Chest,Peitoral de Couro
item_leather_chest_desc,Leather chest armor.,Armadura de peito de couro.
item_legendary_siege_engine_name,Legendary Siege Engine,Máquina de Cerco Lendária
item_legendary_siege_engine_desc,Devastating siege weapon of incredible power. Can break any fortification.,Arma de cerco devastadora de poder incrível. Pode quebrar qualquer fortificação.
item_legendary_weapon_name,Dragonslayer,Matadora de Dragões
item_legendary_weapon_desc,Masterwork weapon of incredible power. Too big to be called a sword.,Arma magistral de poder incrível. Grande demais para ser chamada de espada.
item_masterwork_armor_set_name,Armor of the Hawk,Armadura do Falcão
item_masterwork_armor_set_desc,Complete set of the finest armor.,Conjunto completo da mais fina armadura.
item_medical_kit_name,Medical Kit,Kit Médico
item_medical_kit_desc,Complete medical kit.,Kit médico completo.
item_minor_health_potion_name,Minor Health Potion,Poção Menor de Vida
item_minor_health_potion_desc,Basic healing potion.,Poção de cura básica.
item_reinforced_bow_name,Reinforced Bow,Arco Reforçado
item_reinforced_bow_desc,Metal-reinforced bow. High-tier ranged weapon.,Arco reforçado com metal. Arma de longo alcance de alto nível.
item_reinforced_gloves_name,Reinforced Gloves,Luvas Reforçadas
item_reinforced_gloves_desc,Iron-reinforced leather gloves.,Luvas de couro reforçadas com ferro.
item_steel_chestplate_name,Steel Chestplate,Peitoral de Aço
item_steel_chestplate_desc,Master steel chestplate.,Peitoral mestre de aço.
item_steel_sword_name,Steel Sword,Espada de Aço
item_steel_sword_desc,Master-crafted steel sword. High-tier WAR item. Complex interdependent craft.,Espada de aço feita por mestres. Item de GUERRA de alto nível. Fabricação complexa e interdependente.
item_wooden_bow_name,Wooden Bow,Arco de Madeira
item_wooden_bow_desc,Simple bow.,Arco simples.
item_bridge_section_name,Bridge Section,Seção de Ponte
item_bridge_section_desc,Modular bridge section for crossing rivers and canyons.,Seção modular de ponte para atravessar rios e desfiladeiros.
item_fortification_section_name,Fortification Section,Seção de Fortificação
item_fortification_section_desc,Heavy fortification.,Fortificação pesada.
item_grand_monument_name,Grand Monument,Grande Monumento
item_grand_monument_desc,Monumental structure celebrating great achievements. A wonder of the world.,Estrutura monumental que celebra grandes conquistas. Uma maravilha do mundo.
item_guild_hall_section_name,Guild Hall Section,Seção de Salão da Guilda
item_guild_hall_section_desc,Structural component for building guild halls.,Componente estrutural para construção de salões de guilda.
item_memorial_plaque_name,Memorial Plaque,Placa Memorial
item_memorial_plaque_desc,Engraved plaque to commemorate important events or people.,Placa gravada para comemorar eventos ou pessoas importantes.
item_monument_base_name,Monument Base,Base de Monumento
item_monument_base_desc,Monument foundation.,Fundação do monumento.
item_reinforced_door_name,Reinforced Door,Porta Reforçada
item_reinforced_door_desc,Heavy reinforced door. Security construction.,Porta pesada reforçada. Construção de segurança.
item_ultimate_forge_core_name,Ultimate Forge Core,Núcleo Supremo da Forja
item_ultimate_forge_core_desc,The Heart of Creation. A legendary mega-component combining siege weaponry\\, eternal flame\\, and ultimate fire magic. One of the components required to forge KRAK.,O Coração da Criação. Um mega-componente lendário que combina armamentos de cerco\
item_wall_section_name,Wall Section,Seção de Muro
item_wall_section_desc,Stone wall section.,Seção de muro de pedra.
item_antidote_name,Antidote,Antídoto
item_antidote_desc,Powerful remedy that neutralizes poisons and toxins.,Remédio poderoso que neutraliza venenos e toxinas.
item_beer_name,Beer,Cerveja
item_beer_desc,Rich\\, flavorful beer brewed with rare herbs. A favorite at celebrations and taverns.,Cerveja encorpada\
item_fire_resistance_potion_name,Fire Resistance Potion,Poção de Resistência ao Fogo
item_fire_resistance_potion_desc,Grants fire resistance.,Concede resistência ao fogo.
